genome_ID,M24,M25,M26,M36,M37,M38,M39,M33,M42,Domain,Phylum,Class,Order,Family,Genus,Species
Aegir_M24_B1,0.10015732,0,0,0,0,0,0,0.001702696,0,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,JAADGE01,CAMZKQ01,
Aegir_M24_B10,0.057725262,0.032217197,0,0.39016557,0.002048583,0.003711358,0.18072349,0,0,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Salibacteraceae,CAJXZP01,
Aegir_M24_B100,0.06498023,0,0,0,0,0.002488771,0,0.010384487,0,Bacteria,Pseudomonadota,Gammaproteobacteria,SZUA-229,SZUA-229,GCA-2746365,
Aegir_M24_B101,0.492845,0.002054146,0,0,0.008071002,0.03598586,0.025355462,0.002173544,0,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,UBA4466,
Aegir_M24_B102,0.09285138,0.5899104,0.003684714,0.008595063,0,0,0.07174027,0,0.002073391,Bacteria,Pseudomonadota,Gammaproteobacteria,GCA-001735895,GCA-001735895,JACNJF01,
Aegir_M24_B103,0.14956675,0,0,0,0,0,0,0.000796057,0,Bacteria,Planctomycetota,UBA11346,UBA11346,UBA11346,JANQLF01,
Aegir_M24_B104,0.3144918,0.00167695,0,0,0,0.023022015,0.007840695,0,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Kangiellaceae,GCA-002733465,
Aegir_M24_B105,0.23295286,0,0,0,0,0,0,0,0,Bacteria,Pseudomonadota,Gammaproteobacteria,AKS1,AKS1,Sulfuriflexus,
Aegir_M24_B106,0.38911003,0.001657576,0,0.006549543,0,0.002279197,0.008282777,0.014607461,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Marinicellaceae,NORP309,
Aegir_M24_B107,0.5195517,0.010258241,0,0.19368629,0.056929596,0.003574874,0.017225262,0.09075164,0,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,Sulfurovum sp030949725
Aegir_M24_B108,0.28467166,0,0,0,0,0.0045466,0,0.026260544,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Kangiellaceae,GCA-002733465,
Aegir_M24_B109,0.09797294,0,0,0,0,0.010525983,0,0.006598703,0,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,UBA5972,
Aegir_M24_B11,0.04560973,0,0,0,0,0,0.02679638,0,0,Bacteria,Pseudomonadota,Gammaproteobacteria,CAJXQU01,CAJXQU01,CAJXQU01,CAJXQU01 sp026984275
Aegir_M24_B110,0.13436839,0.000577665,0,0,0,0.003805201,0.03674978,0.009615276,0,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,NORP324,
Aegir_M24_B111,0.83021826,0.007759588,0.001244663,0,0,0.040835492,0.005253661,0.0060173,0,Bacteria,Pseudomonadota,Gammaproteobacteria,SZUA-229,SZUA-229,GCA-2746365,
Aegir_M24_B112,0.03770819,0.010547383,0,0.00245988,0,0,0.018779874,0,0.011902246,Bacteria,Planctomycetota,GCA-002687715,GCA-002687715,DRQF01,DRQF01,
Aegir_M24_B113,0.1082779,0.008134724,0,1.06315,0.052495874,0.009508764,0.20297855,0.003335325,0,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,S010-17,
Aegir_M24_B114,0.14890102,0.000659136,0,0,0.021560585,0.001309263,0.011935612,0.004313275,0,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Devosiaceae,DROE01,
Aegir_M24_B115,0.11026539,0.039932728,0,0.39173988,0.001557051,0.004508767,0.16278845,0,0,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Profundibacter,Profundibacter amoris
Aegir_M24_B116,0.08004651,0.001040952,0,0,0,0.028451491,0,0,0,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurimonadaceae,Sulfurimonas,
