Metagenome,MAG_ID,BGC_ID,class,Predicted product,TPM,Domain,Phylum,Class,Order,Family,Genus,Species
M24,Aegir_M24_B10,BPIAAOIK_41.region001,Hybrid,arylpolyene:resorcinol,748.1153673,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Salibacteraceae,CAJXZP01,
M24,Aegir_M24_B103,PADGKGNB_66.region001,RiPP,RiPP-like,274.1548922,Bacteria,Planctomycetota,UBA11346,UBA11346,UBA11346,JANQLF01,
M24,Aegir_M24_B103,PADGKGNB_202.region001,Hybrid,hglE-KS:T1PKS,230.9751144,Bacteria,Planctomycetota,UBA11346,UBA11346,UBA11346,JANQLF01,
M24,Aegir_M24_B103,PADGKGNB_119.region001,Polyketide,hglE-KS,177.3801821,Bacteria,Planctomycetota,UBA11346,UBA11346,UBA11346,JANQLF01,
M24,Aegir_M24_B103,PADGKGNB_95.region001,Other,arylpolyene,144.6931702,Bacteria,Planctomycetota,UBA11346,UBA11346,UBA11346,JANQLF01,
M24,Aegir_M24_B103,PADGKGNB_47.region001,Polyketide,T3PKS,139.5710699,Bacteria,Planctomycetota,UBA11346,UBA11346,UBA11346,JANQLF01,
M24,Aegir_M24_B105,ADKELONG_33.region001,RiPP,RRE-containing,116.1189906,Bacteria,Pseudomonadota,Gammaproteobacteria,AKS1,AKS1,Sulfuriflexus,
M24,Aegir_M24_B106,PABPKNGJ_58.region001,RiPP,thiopeptide,313.3223169,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Marinicellaceae,NORP309,
M24,Aegir_M24_B108,JDJMJEBK_133.region001,NRP,NRP generic,1062.12711,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Kangiellaceae,GCA-002733465,
M24,Aegir_M24_B108,JDJMJEBK_135.region001,NRP,NRP generic,344.2189133,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Kangiellaceae,GCA-002733465,
M24,Aegir_M24_B108,JDJMJEBK_66.region001,NRP,NRP generic,329.9542256,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Kangiellaceae,GCA-002733465,
M24,Aegir_M24_B109,EHJJEODD_143.region001,Other,hserlactone,37.8418799,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,UBA5972,
M24,Aegir_M24_B11,CKJGPINA_176.region001,RiPP,RiPP-like,423.323211,Bacteria,Pseudomonadota,Gammaproteobacteria,CAJXQU01,CAJXQU01,CAJXQU01,CAJXQU01 sp026984275
M24,Aegir_M24_B110,NLMDFIEA_181.region001,RiPP,RiPP-like,297.3826482,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,NORP324,
M24,Aegir_M24_B110,NLMDFIEA_175.region001,RiPP,RiPP-like,116.0683666,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,NORP324,
M24,Aegir_M24_B110,NLMDFIEA_9.region001,NRP,NRPS-like,58.33619628,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,NORP324,
M24,Aegir_M24_B110,NLMDFIEA_168.region001,Terpene,Terpene generic,33.83782988,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,NORP324,
M24,Aegir_M24_B111,PIANMFAJ_110.region001,RiPP,RiPP-like,100.8072002,Bacteria,Pseudomonadota,Gammaproteobacteria,SZUA-229,SZUA-229,GCA-2746365,
M24,Aegir_M24_B116,LFICFLKJ_159.region001,RiPP,RiPP-like,445.9494402,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurimonadaceae,Sulfurimonas,
M24,Aegir_M24_B118,FAKNGFII_40.region001,Polyketide,PKS-like,36.4171074,Bacteria,Bacteroidota,Bacteroidia,UBA10329,UBA10329,UBA10329,
M24,Aegir_M24_B118,FAKNGFII_144.region001,Other,resorcinol,34.32038619,Bacteria,Bacteroidota,Bacteroidia,UBA10329,UBA10329,UBA10329,
M24,Aegir_M24_B123,FHGAEOEJ_73.region001,Other,arylpolyene,37.26975215,Bacteria,Pseudomonadota,Gammaproteobacteria,CAMYNG01,CAMYNG01,JALUTW01,JALUTW01 sp027021685
M24,Aegir_M24_B127,DHLFLHGA_497.region001,Polyketide,T3PKS,37.37570459,Bacteria,Planctomycetota,GCA-2746535,GCA-2746535,GCA-2746535,GCA-2746535,
M24,Aegir_M24_B128,FDOIAPJH_117.region001,Polyketide,hglE-KS,58.33779414,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Azotimanducaceae,JAHRVQ01,
M24,Aegir_M24_B13,HMPFCKPD_12.region001,RiPP,RiPP-like,422.0876984,Bacteria,Pseudomonadota,Gammaproteobacteria,Beggiatoales,Beggiatoaceae,,
M24,Aegir_M24_B130,KOFGBFOK_7.region001,Other,arylpolyene,243.5418348,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,JALSJK01,JALSJK01 sp026989395
M24,Aegir_M24_B130,KOFGBFOK_136.region001,Other,hydrogen-cyanide,83.18444486,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,JALSJK01,JALSJK01 sp026989395
M24,Aegir_M24_B131,CIIHKDJI_39.region001,RiPP,redox-cofactor,1936.602029,Bacteria,Pseudomonadota,Gammaproteobacteria,Nitrosococcales,Methylophagaceae,GCA-002733105,
