Metagenome,MAG,BGC,class,Predicted product,Domain,Phylum,Class,Order,Family,Genus,Species
M24,Aegir_M24_B10,BPIAAOIK_41.region001,Hybrid,arylpolyene:resorcinol,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Salibacteraceae,CAJXZP01,0
M24,Aegir_M24_B10,BPIAAOIK_63.region001,Other,arylpolyene,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Salibacteraceae,CAJXZP01,0
M24,Aegir_M24_B100,MLOKDKNP_105.region001,NRP,NRPS-like,Bacteria,Pseudomonadota,Gammaproteobacteria,SZUA-229,SZUA-229,GCA-2746365,0
M24,Aegir_M24_B100,MLOKDKNP_145.region001,Hybrid,NRPS-like:T1PKS,Bacteria,Pseudomonadota,Gammaproteobacteria,SZUA-229,SZUA-229,GCA-2746365,0
M24,Aegir_M24_B101,OAGAJOKM_53.region001,RiPP,RRE-containing,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,UBA4466,0
M24,Aegir_M24_B102,CLDLOCKN_1.region001,RiPP,RiPP-like,Bacteria,Pseudomonadota,Gammaproteobacteria,GCA-001735895,GCA-001735895,JACNJF01,0
M24,Aegir_M24_B102,CLDLOCKN_59.region001,Other,betalactone,Bacteria,Pseudomonadota,Gammaproteobacteria,GCA-001735895,GCA-001735895,JACNJF01,0
M24,Aegir_M24_B102,CLDLOCKN_18.region001,RiPP,RiPP-like,Bacteria,Pseudomonadota,Gammaproteobacteria,GCA-001735895,GCA-001735895,JACNJF01,0
M24,Aegir_M24_B103,PADGKGNB_104.region001,Other,arylpolyene,Bacteria,Planctomycetota,UBA11346,UBA11346,UBA11346,JANQLF01,0
M24,Aegir_M24_B103,PADGKGNB_118.region001,Other,arylpolyene,Bacteria,Planctomycetota,UBA11346,UBA11346,UBA11346,JANQLF01,0
M24,Aegir_M24_B103,PADGKGNB_119.region001,Polyketide,hglE-KS,Bacteria,Planctomycetota,UBA11346,UBA11346,UBA11346,JANQLF01,0
M24,Aegir_M24_B103,PADGKGNB_202.region001,Hybrid,hglE-KS:T1PKS,Bacteria,Planctomycetota,UBA11346,UBA11346,UBA11346,JANQLF01,0
M24,Aegir_M24_B103,PADGKGNB_212.region001,Other,arylpolyene,Bacteria,Planctomycetota,UBA11346,UBA11346,UBA11346,JANQLF01,0
M24,Aegir_M24_B103,PADGKGNB_47.region001,Polyketide,T3PKS,Bacteria,Planctomycetota,UBA11346,UBA11346,UBA11346,JANQLF01,0
M24,Aegir_M24_B103,PADGKGNB_66.region001,RiPP,RiPP-like,Bacteria,Planctomycetota,UBA11346,UBA11346,UBA11346,JANQLF01,0
M24,Aegir_M24_B103,PADGKGNB_95.region001,Other,arylpolyene,Bacteria,Planctomycetota,UBA11346,UBA11346,UBA11346,JANQLF01,0
M24,Aegir_M24_B105,ADKELONG_17.region001,RiPP,RiPP-like,Bacteria,Pseudomonadota,Gammaproteobacteria,AKS1,AKS1,Sulfuriflexus,0
M24,Aegir_M24_B105,ADKELONG_27.region001,Terpene,Terpene generic,Bacteria,Pseudomonadota,Gammaproteobacteria,AKS1,AKS1,Sulfuriflexus,0
M24,Aegir_M24_B105,ADKELONG_33.region001,RiPP,RRE-containing,Bacteria,Pseudomonadota,Gammaproteobacteria,AKS1,AKS1,Sulfuriflexus,0
M24,Aegir_M24_B106,PABPKNGJ_58.region001,RiPP,thiopeptide,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Marinicellaceae,NORP309,0
M24,Aegir_M24_B106,PABPKNGJ_46.region001,RiPP,RRE-containing,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Marinicellaceae,NORP309,0
M24,Aegir_M24_B107,IGCMBEGF_69.region001,RiPP,RiPP-like,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,Sulfurovum sp030949725
M24,Aegir_M24_B107,IGCMBEGF_79.region001,RiPP,RRE-containing,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,Sulfurovum sp030949725
M24,Aegir_M24_B108,JDJMJEBK_133.region001,NRP,NRP generic,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Kangiellaceae,GCA-002733465,0
M24,Aegir_M24_B108,JDJMJEBK_135.region001,NRP,NRP generic,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Kangiellaceae,GCA-002733465,0
M24,Aegir_M24_B108,JDJMJEBK_66.region001,NRP,NRP generic,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Kangiellaceae,GCA-002733465,0
M24,Aegir_M24_B109,EHJJEODD_130.region001,Other,hserlactone,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,UBA5972,0
M24,Aegir_M24_B109,EHJJEODD_143.region001,Other,hserlactone,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,UBA5972,0
M24,Aegir_M24_B109,EHJJEODD_77.region001,Hybrid,betalactone:hserlactone,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,UBA5972,0
M24,Aegir_M24_B11,CKJGPINA_108.region001,NRP,NRPS-like,Bacteria,Pseudomonadota,Gammaproteobacteria,CAJXQU01,CAJXQU01,CAJXQU01,CAJXQU01 sp026984275
M24,Aegir_M24_B11,CKJGPINA_158.region001,Other,betalactone,Bacteria,Pseudomonadota,Gammaproteobacteria,CAJXQU01,CAJXQU01,CAJXQU01,CAJXQU01 sp026984275
M24,Aegir_M24_B11,CKJGPINA_16.region001,Terpene,Terpene generic,Bacteria,Pseudomonadota,Gammaproteobacteria,CAJXQU01,CAJXQU01,CAJXQU01,CAJXQU01 sp026984275
M24,Aegir_M24_B11,CKJGPINA_176.region001,RiPP,RiPP-like,Bacteria,Pseudomonadota,Gammaproteobacteria,CAJXQU01,CAJXQU01,CAJXQU01,CAJXQU01 sp026984275
M24,Aegir_M24_B11,CKJGPINA_207.region001,RiPP,redox-cofactor,Bacteria,Pseudomonadota,Gammaproteobacteria,CAJXQU01,CAJXQU01,CAJXQU01,CAJXQU01 sp026984275
M24,Aegir_M24_B11,CKJGPINA_237.region001,Other,phosphonate,Bacteria,Pseudomonadota,Gammaproteobacteria,CAJXQU01,CAJXQU01,CAJXQU01,CAJXQU01 sp026984275
M24,Aegir_M24_B11,CKJGPINA_268.region001,Other,resorcinol,Bacteria,Pseudomonadota,Gammaproteobacteria,CAJXQU01,CAJXQU01,CAJXQU01,CAJXQU01 sp026984275
