AMP_ID,A. baumannii ATCC 19606,E. coli ATCC 11775,E. coli AIC221,E. coli AIC222,K. pneumoniae ATCC 13883,P. aeruginosa PA01,P. aeruginosa PA14,S. aureus ATCC 12600,S. aureus (ATCC BAA-1556) - MRSA,vancomycin-resistant E. faecalis ATCC 700802,vancomycin-resistant E. faecium ATCC 700221
NFBENEIL_20_17,13.962044,165.31807,33.07818,30.995983,247.58658,88.82717,88.90087,238.57176,319.911,502.83417,14.311645
GIKLDKJA_20_31,10.035016,168.31636,31.342964,82.9517,208.05652,139.09285,142.90836,335.31442,361.43896,361.84714,18.688904
AHMCFDPC_66_33,32.65514,131.3321,49.170456,140.26523,254.10277,116.505875,119.136086,203.61272,223.53728,324.58667,22.415182
OLKFNNDA_52_10,20.906595,231.6982,93.58303,100.03183,340.64148,216.49446,269.24478,306.5367,475.7624,437.7354,26.61901
GOPPLFKP_11_22,22.099201,46.795395,28.43274,65.23674,83.57971,49.734913,46.035286,140.55603,193.68872,329.88275,26.884388
ILHAPEDD_65_25,22.685375,123.02813,44.27505,40.960037,138.07327,65.83328,49.020576,149.13864,253.5497,315.90527,28.722654
KKNDCODD_182_1,10.516907,86.82616,20.549942,15.991233,102.58259,39.714317,38.99607,105.84885,148.65067,332.85123,29.76811
GLCJNICL_37_47,20.092817,90.741974,56.067787,80.13881,166.90814,112.44114,112.93717,240.52582,264.67126,343.58234,29.768852
OPFOICGM_149_6,9.656619,100.77165,24.354631,38.397415,384.8766,292.4757,264.84406,329.43344,437.79745,417.81772,30.168098
NGKECJEJ_124_2,23.286436,163.00003,63.148685,73.700294,238.06546,92.69803,116.56702,217.89938,244.68019,345.188,31.913614
HDIEMOMA_39_1,25.035137,168.9147,43.235996,72.31491,276.85342,114.52254,81.5684,265.9231,267.42224,386.64017,33.8979
PEAOFJAB_26_3,32.438313,122.77955,69.70497,57.98391,138.7428,80.47315,70.15144,143.93234,296.666,315.00446,34.270485
KOFGBFOK_149_7,34.23098,201.52261,89.09541,92.17355,319.2027,249.10916,186.52133,196.40695,327.356,305.31454,39.94043
KDFDCCFH_115_6,34.23098,201.52261,89.09541,92.17355,319.2027,249.10916,186.52133,196.40695,327.356,305.31454,39.94043
OICIJIOO_47_7,34.23098,201.52261,89.09541,92.17355,319.2027,249.10916,186.52133,196.40695,327.356,305.31454,39.94043
APLIPKFB_46_4,40.585903,134.51186,47.77691,90.46026,224.57593,160.10268,171.41621,280.1054,344.3224,355.00797,41.822163
MGMOCMNP_104_4,19.295654,111.57559,93.66402,81.08619,182.90024,70.420784,100.41836,230.01617,315.7281,308.34262,42.607758
LKBPNCKB_1_3,33.260998,404.66483,112.40379,108.84894,377.7017,188.08215,154.92444,355.26105,435.6697,465.9592,43.341187
LCOEDOOA_200_3,31.801638,130.65442,63.415947,55.230473,174.75778,119.109406,153.22093,214.56133,286.43994,336.87076,45.577774
MPGNNOLM_149_4,15.328606,133.59848,41.7069,37.413494,205.68927,95.04756,157.63443,267.02322,450.00006,391.11975,48.779648
JDINJJPO_75_3,61.958565,124.62308,63.348457,67.06923,225.38744,142.96179,187.22595,231.7844,259.49686,402.45123,50.71296
NKNCIDFI_359_5,13.372323,165.6737,105.40807,81.83366,239.89828,127.28182,85.4641,282.59326,342.8738,370.34598,51.500816
JBOAIABN_38_23,33.480625,129.80849,36.11083,45.917088,277.0541,77.38255,195.01207,369.4982,352.11752,432.11517,52.871555
CENODMGI_6_4,37.536434,141.68289,34.928364,63.655838,206.09253,95.64615,105.461136,205.1484,238.22478,351.00543,53.330326
JGCHBLFO_307_4,16.023905,141.14537,55.716637,66.67664,234.3887,123.127975,189.80446,343.1028,305.86154,500.5989,53.781506
GKAAFCEO_49_3,69.41796,183.15111,52.171642,91.5915,343.25693,147.39757,186.98532,374.2122,410.04425,528.7503,54.560783
FFGAEJMC_38_38,30.346918,130.91762,71.54945,81.51056,157.25989,141.68523,104.61655,228.63603,314.04565,298.904,54.90465
PDGCENIA_58_1,49.63585,82.8342,69.94114,82.587715,153.44415,90.827126,68.91118,175.11298,284.71536,290.54034,56.064796
GOFKCKIN_26_9,37.547474,148.78465,61.392303,231.70749,361.30087,186.46507,185.374,321.29355,370.77292,434.85562,60.390827
OEJDFIBC_143_1,36.748547,140.26805,145.72467,106.85033,190.47363,138.97809,113.18406,193.3366,253.58112,347.07996,63.3745
PCIALCMD_135_7,39.654694,149.66307,122.85832,124.90446,293.78555,190.51599,217.86783,202.25194,317.67917,407.92838,63.453995
MFEMIGBH_29_13,60.646915,142.52036,93.17673,112.02273,176.43015,122.79486,105.76,185.19098,275.41336,304.1547,63.787834
LEDLLEGN_1_33,78.273415,183.7346,125.01265,107.64459,252.13715,171.48917,200.84357,273.96646,303.61053,406.48325,63.807888
AODPIKDL_62_9,46.54417,200.86392,83.40595,99.58533,407.1671,194.95056,233.03525,426.0358,411.65912,493.69067,64.011406
GNKANFNI_31_10,65.88754,161.65958,106.99908,107.44231,228.34935,167.98044,147.13687,125.46344,214.70755,287.08493,65.08715
PDMGNGAF_293_4,65.88754,161.65958,106.99908,107.44231,228.34935,167.98044,147.13687,125.46344,214.70755,287.08493,65.08715
DCCNGCIG_21_2,22.278019,72.307236,74.091965,114.897766,178.8169,120.62094,121.658714,149.4303,231.78085,302.41586,65.939705
NDFDGGDH_114_39,52.218544,172.22119,74.14962,116.64314,231.07767,147.40552,191.88135,214.7833,244.32576,294.2693,66.040016
BECGIJIG_3_2,19.867136,249.85162,79.07342,130.96991,389.81058,192.37943,183.94403,344.53976,425.9253,453.32574,66.7421
BLIMOGOC_130_30,61.060017,220.24275,130.07591,103.5771,310.4179,222.44237,209.93413,317.87653,368.40088,466.71533,68.275986
CFBHPGFJ_48_6,61.060017,220.24275,130.07591,103.5771,310.4179,222.44237,209.93413,317.87653,368.40088,466.71533,68.275986
LGFNCOND_193_43,47.905033,97.69505,74.24509,101.6365,178.15112,137.5674,90.032394,225.36009,281.7322,294.0119,68.40755
LPLOOJEN_28_17,32.57377,169.30638,94.225914,89.67079,204.78008,148.80164,119.232185,161.00008,272.00345,321.56583,68.45852
LKBPNCKB_239_9,45.765575,185.09506,122.65894,124.03902,200.42029,182.70262,148.43869,220.84676,302.5025,301.81927,71.52237
ABBBLBMD_46_1,45.765575,185.09506,122.65894,124.03902,200.42029,182.70262,148.43869,220.84676,302.5025,301.81927,71.52237
LKACKFMG_27_38,45.765575,185.09506,122.65894,124.03902,200.42029,182.70262,148.43869,220.84676,302.5025,301.81927,71.52237
GGJMJOFG_53_9,45.765575,185.09506,122.65894,124.03902,200.42029,182.70262,148.43869,220.84676,302.5025,301.81927,71.52237
PJIGDKCP_8_146,67.82335,133.0659,90.61384,152.33128,208.0959,160.74832,144.23183,221.65517,265.88196,362.74365,72.274956
IPAJDFGG_237_4,35.6468,190.32507,56.602352,143.2915,345.31833,223.10748,247.51904,326.37854,335.96967,388.942,72.36574
LMPFGBPF_123_55,50.70553,81.68143,96.25402,149.28725,216.5472,204.26587,157.02061,246.30484,441.20248,385.38965,72.789085
MDJGNOFL_123_2,27.194084,230.49684,126.74877,153.11438,276.3522,221.95825,241.22798,276.22485,348.81924,424.92722,73.03687
CPPAPOMF_206_1,45.890728,123.25811,79.35733,92.440125,228.34187,149.4423,114.233696,204.16176,300.7477,389.14853,74.396996
GMOEOBNB_207_20,42.275887,183.79747,82.133194,118.435646,256.85104,142.68073,139.75179,279.0691,415.7108,472.51697,75.68722
AMFJPKLD_101_11,42.275887,183.79747,82.133194,118.435646,256.85104,142.68073,139.75179,279.0691,415.7108,472.51697,75.68722
CGJFFKOE_1_100,69.44336,231.56569,70.51863,176.23506,299.85074,170.45328,233.0236,447.531,471.34488,496.48123,77.02172
CGJFFKOE_1_96,69.44336,231.56569,70.51863,176.23506,299.85074,170.45328,233.0236,447.531,471.34488,496.48123,77.02172
AODPIKDL_77_68,16.896051,57.417313,21.390846,32.704597,167.5487,83.0823,98.66093,179.51793,268.31125,417.21063,77.14068
DNAEBAJA_20_4,55.802334,181.46295,120.89553,161.2453,256.67563,214.12833,237.8477,349.6978,377.7389,317.12314,78.04051
KNGHPBFF_542_2,40.49506,203.87169,131.83458,114.828674,251.908,206.00772,194.42943,228.03798,266.3291,402.67514,79.05405
EFMPONMI_129_1,30.951479,175.39658,175.40596,122.37296,226.26877,168.62364,192.80875,257.1789,410.97845,446.63644,80.46453
GACEDKPE_90_27,46.697857,96.82494,96.88634,120.176025,167.31543,136.50935,127.245224,174.61453,274.2037,318.93323,80.71141
HCGIIHJE_43_1,51.29129,163.26044,123.68006,130.30098,203.00153,168.14943,165.42908,204.77254,322.17505,338.54504,83.23487
ICAEBNNE_34_11,70.14751,185.9303,136.47144,123.11261,210.78798,154.78903,136.30974,284.43616,320.43115,322.69144,85.49118
HOAEJAAF_51_36,27.784693,114.28364,78.50614,129.98877,218.03914,119.767746,127.15644,197.1032,230.06502,243.76854,87.45645
DPBJAADB_4_10,99.78475,162.48431,84.500946,150.23676,350.77557,240.38092,271.40387,350.67868,405.3082,455.48453,87.725426
