source,target,source_metagenome,target_metagenome
AAFKEBIM_2.region001,AAFKEBIM_2.region001,M25,M25
AAFKEBIM_35.region001,AAFKEBIM_35.region001,M25,M25
AAFKEBIM_50.region001,AAFKEBIM_50.region001,M25,M25
AAIIPECO_13.region001,AAIIPECO_13.region001,M39,M39
AAIIPECO_18.region001,JOELOLGC_4.region001,M39,M36
AAIIPECO_2.region001,JOELOLGC_6.region001,M39,M36
AAIIPECO_23.region001,JOELOLGC_24.region001,M39,M36
AAIIPECO_41.region001,JOELOLGC_41.region001,M39,M36
AAIIPECO_57.region001,JOELOLGC_3.region001,M39,M36
AAIIPECO_76.region001,JOELOLGC_39.region001,M39,M36
AALDIBPL_129.region001,AALDIBPL_129.region001,M42,M42
AALDIBPL_169.region001,AALDIBPL_169.region001,M42,M42
AALDIBPL_189.region001,AALDIBPL_189.region001,M42,M42
AALDIBPL_194.region001,AALDIBPL_194.region001,M42,M42
AALDIBPL_25.region001,AALDIBPL_25.region001,M42,M42
AAPHHPOD_142.region001,AAPHHPOD_142.region001,M42,M42
AAPHHPOD_172.region001,AAPHHPOD_172.region001,M42,M42
AAPHHPOD_173.region001,AAPHHPOD_173.region001,M42,M42
ABIMFLDF_20.region001,ABIMFLDF_20.region001,M42,M42
ABIMFLDF_29.region001,ABIMFLDF_29.region001,M42,M42
ABIMFLDF_42.region001,ABIMFLDF_42.region001,M42,M42
ABLFJFHB_285.region001,ABLFJFHB_285.region001,M24,M24
ABLFJFHB_319.region001,FNBCAEOK_279.region001,M24,M39
ABLFJFHB_53.region001,FNBCAEOK_924.region001,M24,M39
ABLFJFHB_55.region001,ABLFJFHB_55.region001,M24,M24
ABLFJFHB_66.region001,ABLFJFHB_66.region001,M24,M24
ACGGOOMM_52.region001,ACGGOOMM_52.region001,M25,M25
ACLCOCJL_32.region001,ACLCOCJL_32.region001,M38,M38
ACLCOCJL_4.region001,ACLCOCJL_4.region001,M38,M38
ACLCOCJL_87.region001,ACLCOCJL_87.region001,M38,M38
ADCJAJAL_17.region001,ADCJAJAL_17.region001,M25,M25
ADFKEOCB_5.region001,ADFKEOCB_5.region001,M24,M24
ADJEFGIL_159.region001,ADJEFGIL_159.region001,M38,M38
ADJEFGIL_184.region001,ADJEFGIL_184.region001,M38,M38
ADJEFGIL_21.region001,ADJEFGIL_21.region001,M38,M38
ADJEFGIL_44.region001,ADJEFGIL_44.region001,M38,M38
ADJEFGIL_49.region001,ADJEFGIL_49.region001,M38,M38
ADJNEHKA_121.region001,ADJNEHKA_121.region001,M33,M33
ADJNEHKA_166.region001,ADJNEHKA_166.region001,M33,M33
ADJNEHKA_168.region001,ADJNEHKA_168.region001,M33,M33
ADJNEHKA_178.region001,ADJNEHKA_178.region001,M33,M33
ADJNEHKA_179.region001,ADJNEHKA_179.region001,M33,M33
ADJNEHKA_185.region001,ADJNEHKA_185.region001,M33,M33
ADJNEHKA_31.region001,ADJNEHKA_31.region001,M33,M33
ADKCALKC_20.region001,ADKCALKC_20.region001,M25,M25
ADKCALKC_31.region001,ADKCALKC_31.region001,M25,M25
ADKCALKC_51.region001,ADKCALKC_51.region001,M25,M25
ADKCALKC_6.region001,ADKCALKC_6.region001,M25,M25
ADKELONG_17.region001,ADKELONG_17.region001,M24,M24
ADKELONG_27.region001,ADKELONG_27.region001,M24,M24
ADKELONG_33.region001,ADKELONG_33.region001,M24,M24
AEFEIJIB_19.region001,AEFEIJIB_19.region001,M25,M25
AEFEIJIB_50.region001,AEFEIJIB_50.region001,M25,M25
AFNHJEFG_24.region001,HOCLGGFK_132.region001,M25,M39
AFNHJEFG_35.region001,AFNHJEFG_35.region001,M25,M25
AGFGDEPP_25.region001,AGFGDEPP_25.region001,M33,M33
AGFGDEPP_5.region001,AGFGDEPP_5.region001,M33,M33
AGHCKNLD_294.region001,AGHCKNLD_294.region001,M24,M24
AGHCKNLD_341.region001,AGHCKNLD_341.region001,M24,M24
AGHCKNLD_356.region001,AGHCKNLD_356.region001,M24,M24
AGHCKNLD_385.region001,AGHCKNLD_385.region001,M24,M24
AGHCKNLD_390.region001,AGHCKNLD_390.region001,M24,M24
AGHCKNLD_436.region001,AGHCKNLD_436.region001,M24,M24
AGHCKNLD_454.region001,AGHCKNLD_454.region001,M24,M24
AGHCKNLD_459.region001,AGHCKNLD_459.region001,M24,M24
AGHCKNLD_664.region001,AGHCKNLD_664.region001,M24,M24
AHIPEJFA_117.region001,AHIPEJFA_117.region001,M33,M33
AHIPEJFA_18.region001,CPJGGNFP_141.region001,M33,M39
AHIPEJFA_201.region001,AHIPEJFA_201.region001,M33,M33
AHMCFDPC_14.region001,AHMCFDPC_14.region001,M42,M42
AHMCFDPC_33.region001,AHMCFDPC_33.region001,M42,M42
AHMCFDPC_48.region001,AHMCFDPC_48.region001,M42,M42
AHMCFDPC_8.region001,AHMCFDPC_8.region001,M42,M42
AIAADNBJ_131.region001,GBGOCJJP_84.region001,M39,M24
AIAADNBJ_148.region001,GBGOCJJP_67.region001,M39,M24
AIAADNBJ_15.region001,GBGOCJJP_54.region001,M39,M24
AIAADNBJ_180.region001,GBGOCJJP_100.region001,M39,M24
AIAADNBJ_205.region001,GBGOCJJP_100.region002,M39,M24
AIAADNBJ_43.region001,GBGOCJJP_112.region001,M39,M24
AIHPAFBK_1.region001,AIHPAFBK_1.region001,M36,M36
AIHPAFBK_13.region001,AIHPAFBK_13.region001,M36,M36
AIHPAFBK_26.region001,AIHPAFBK_26.region001,M36,M36
AIHPAFBK_78.region001,AIHPAFBK_78.region001,M36,M36
AJHKFCJO_47.region001,AJHKFCJO_47.region001,M36,M36
AJLIFLFF_37.region001,ANKKBANP_9.region001,M42,M25
AJLIFLFF_92.region001,ANKKBANP_20.region001,M42,M25
AJPDMLKK_206.region001,NNPGLMIM_30.region001,M25,M25
AJPDMLKK_206.region001,NIMPLCKH_54.region001,M25,M38
AJPDMLKK_206.region001,FDEIFABP_83.region001,M25,M24
AJPDMLKK_206.region001,MMHLBHKL_346.region001,M25,M33
AJPDMLKK_206.region001,GHIKEMJA_175.region001,M25,M38
AJPDMLKK_206.region001,JEHDAJPF_30.region001,M25,M33
AJPDMLKK_206.region001,EMJIGOFO_50.region001,M25,M37
AJPDMLKK_206.region001,OOCMFLME_47.region001,M25,M24
AJPDMLKK_206.region001,EEGHMLPD_89.region001,M25,M39
AJPDMLKK_206.region001,DJGDOFOD_85.region001,M25,M37
AJPDMLKK_206.region001,JBCKNOCK_234.region001,M25,M25
AJPDMLKK_206.region001,IJMCNGDJ_130.region001,M25,M36
AJPDMLKK_206.region001,HEEDOPCH_56.region001,M25,M39
AJPDMLKK_206.region001,LPIDFHMF_190.region001,M25,M33
AJPDMLKK_206.region001,HPFIMPEI_152.region001,M25,M24
AJPDMLKK_206.region001,GGOKCDCL_209.region001,M25,M37
AJPDMLKK_206.region001,ONIHFDBF_136.region001,M25,M36
AJPDMLKK_206.region001,MACFFGIF_20.region001,M25,M36
AJPDMLKK_206.region001,DOFINDKD_55.region001,M25,M25
AJPDMLKK_334.region001,MHCCPFAL_245.region001,M25,M39
AJPDMLKK_334.region001,NIMPLCKH_193.region001,M25,M38
AJPDMLKK_334.region001,JNBGNNLM_229.region001,M25,M39
AJPDMLKK_334.region001,OEDHKPFD_120.region001,M25,M39
AJPDMLKK_334.region001,EEGHMLPD_38.region001,M25,M39
AJPDMLKK_334.region001,OOCMFLME_185.region001,M25,M24
AJPDMLKK_341.region001,OOCMFLME_19.region001,M25,M24
AJPDMLKK_83.region001,LIEFECIJ_65.region001,M25,M24
AJPDMLKK_83.region001,OEDHKPFD_111.region001,M25,M39
AJPDMLKK_83.region001,MHCCPFAL_205.region001,M25,M39
AJPDMLKK_83.region001,HEEDOPCH_110.region001,M25,M39
AJPDMLKK_83.region001,HPFIMPEI_6.region001,M25,M24
AJPDMLKK_83.region001,NLFFCBIA_11.region001,M25,M39
AJPDMLKK_83.region001,LPIDFHMF_124.region001,M25,M33
AJPDMLKK_83.region001,EMJIGOFO_155.region001,M25,M37
