Metagenome,MAG,BGC,class,Predicted product,Length (kb),Number of genes,Domain,Phylum,Class,Order,Family,Genus,Species
M24,Aegir_M24_B10,BPIAAOIK_41.region001,Hybrid,arylpolyene:resorcinol,35.59,32,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Salibacteraceae,CAJXZP01,0
M24,Aegir_M24_B10,BPIAAOIK_63.region001,Other,arylpolyene,13.81,13,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Salibacteraceae,CAJXZP01,0
M24,Aegir_M24_B100,MLOKDKNP_105.region001,NRP,NRPS-like,19.28,18,Bacteria,Pseudomonadota,Gammaproteobacteria,SZUA-229,SZUA-229,GCA-2746365,0
M24,Aegir_M24_B100,MLOKDKNP_145.region001,Hybrid,NRPS-like:T1PKS,12.43,6,Bacteria,Pseudomonadota,Gammaproteobacteria,SZUA-229,SZUA-229,GCA-2746365,0
M24,Aegir_M24_B101,OAGAJOKM_53.region001,RiPP,RRE-containing,20.24,17,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,UBA4466,0
M24,Aegir_M24_B102,CLDLOCKN_1.region001,RiPP,RiPP-like,11.74,7,Bacteria,Pseudomonadota,Gammaproteobacteria,GCA-001735895,GCA-001735895,JACNJF01,0
M24,Aegir_M24_B102,CLDLOCKN_59.region001,Other,betalactone,17.72,14,Bacteria,Pseudomonadota,Gammaproteobacteria,GCA-001735895,GCA-001735895,JACNJF01,0
M24,Aegir_M24_B102,CLDLOCKN_18.region001,RiPP,RiPP-like,10.85,11,Bacteria,Pseudomonadota,Gammaproteobacteria,GCA-001735895,GCA-001735895,JACNJF01,0
M24,Aegir_M24_B103,PADGKGNB_104.region001,Other,arylpolyene,2.5,2,Bacteria,Planctomycetota,UBA11346,UBA11346,UBA11346,JANQLF01,0
M24,Aegir_M24_B103,PADGKGNB_118.region001,Other,arylpolyene,6.03,4,Bacteria,Planctomycetota,UBA11346,UBA11346,UBA11346,JANQLF01,0
M24,Aegir_M24_B103,PADGKGNB_119.region001,Polyketide,hglE-KS,28.02,13,Bacteria,Planctomycetota,UBA11346,UBA11346,UBA11346,JANQLF01,0
M24,Aegir_M24_B103,PADGKGNB_202.region001,Hybrid,hglE-KS:T1PKS,10.76,4,Bacteria,Planctomycetota,UBA11346,UBA11346,UBA11346,JANQLF01,0
M24,Aegir_M24_B103,PADGKGNB_212.region001,Other,arylpolyene,5.87,6,Bacteria,Planctomycetota,UBA11346,UBA11346,UBA11346,JANQLF01,0
M24,Aegir_M24_B103,PADGKGNB_47.region001,Polyketide,T3PKS,22.89,20,Bacteria,Planctomycetota,UBA11346,UBA11346,UBA11346,JANQLF01,0
M24,Aegir_M24_B103,PADGKGNB_66.region001,RiPP,RiPP-like,6.47,7,Bacteria,Planctomycetota,UBA11346,UBA11346,UBA11346,JANQLF01,0
M24,Aegir_M24_B103,PADGKGNB_95.region001,Other,arylpolyene,24.53,16,Bacteria,Planctomycetota,UBA11346,UBA11346,UBA11346,JANQLF01,0
M24,Aegir_M24_B105,ADKELONG_17.region001,RiPP,RiPP-like,10.86,12,Bacteria,Pseudomonadota,Gammaproteobacteria,AKS1,AKS1,Sulfuriflexus,0
M24,Aegir_M24_B105,ADKELONG_27.region001,Terpene,Terpene generic,21.71,23,Bacteria,Pseudomonadota,Gammaproteobacteria,AKS1,AKS1,Sulfuriflexus,0
M24,Aegir_M24_B105,ADKELONG_33.region001,RiPP,RRE-containing,12.23,10,Bacteria,Pseudomonadota,Gammaproteobacteria,AKS1,AKS1,Sulfuriflexus,0
M24,Aegir_M24_B106,PABPKNGJ_58.region001,RiPP,thiopeptide,19.26,17,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Marinicellaceae,NORP309,0
M24,Aegir_M24_B106,PABPKNGJ_46.region001,RiPP,RRE-containing,14.23,14,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Marinicellaceae,NORP309,0
M24,Aegir_M24_B107,IGCMBEGF_69.region001,RiPP,RiPP-like,2.86,2,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,Sulfurovum sp030949725
M24,Aegir_M24_B107,IGCMBEGF_79.region001,RiPP,RRE-containing,12.57,17,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,Sulfurovum sp030949725
M24,Aegir_M24_B108,JDJMJEBK_133.region001,NRP,NRP generic,44.12,34,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Kangiellaceae,GCA-002733465,0
M24,Aegir_M24_B108,JDJMJEBK_135.region001,NRP,NRP generic,24.75,17,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Kangiellaceae,GCA-002733465,0
M24,Aegir_M24_B108,JDJMJEBK_66.region001,NRP,NRP generic,6.46,3,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Kangiellaceae,GCA-002733465,0
M24,Aegir_M24_B109,EHJJEODD_130.region001,Other,hserlactone,20.62,19,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,UBA5972,0
M24,Aegir_M24_B109,EHJJEODD_143.region001,Other,hserlactone,18.76,19,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,UBA5972,0
M24,Aegir_M24_B109,EHJJEODD_77.region001,Hybrid,betalactone:hserlactone,23.04,25,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,UBA5972,0
