Metagenome,MAG,smORF,Length,Mapped,TPM,log (TPM),AMP_family,Domain,Phylum,Class,Order,Family,Genus,Species
M24,Aegir_M24_B129,NPEJHEFM_245_4,135,2,3007.233394,3.478167135,CDP,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Vicingaceae,GCA-002793235,
M24,Aegir_M24_B130,KOFGBFOK_149_7,129,1,1573.552357,3.196881198,CLP,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,JALSJK01,JALSJK01 sp026989395
M24,Aegir_M24_B27,MGMOCMNP_352_10,159,18,22979.80235,4.361346289,CLP,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Bernardetiaceae,,
M24,Aegir_M24_B27,MGMOCMNP_104_4,123,3,4950.933027,3.694687052,CDP,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Bernardetiaceae,,
M24,Aegir_M24_B52,JLMBNEBE_87_10,93,2,4365.338798,3.640017955,CDP,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Colwellia,
M24,Aegir_M24_B58,GNKANFNI_17_14,111,25,45718.07525,4.660087938,CDP,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,WTBX01,WTBX01 sp030949405
M24,Aegir_M24_B58,GNKANFNI_95_11,123,26,42908.08623,4.632539145,CLP,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,WTBX01,WTBX01 sp030949405
M24,Aegir_M24_B58,GNKANFNI_31_10,93,12,26192.03279,4.418169206,CLP,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,WTBX01,WTBX01 sp030949405
M24,Aegir_M24_B58,GNKANFNI_55_6,132,17,26142.42666,4.417345898,CDP,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,WTBX01,WTBX01 sp030949405
M24,Aegir_M24_B61,JFGKALPH_415_7,111,1,1828.72301,3.262147929,CLP,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Bernardetiaceae,,
M24,Aegir_M24_B75,NCJJNLBN_63_47,114,81,144228.4963,5.159051076,CLP,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,WTBX01,
M24,Aegir_M24_B75,NCJJNLBN_15_8,102,50,99504.04612,4.997840741,CLP,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,WTBX01,
M24,Aegir_M24_B81,LKBPNCKB_239_10,93,4,8730.677595,3.941047951,CLP,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,,
M24,Aegir_M24_B81,LKBPNCKB_239_9,120,2,3383.137568,3.529319658,CLP,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,,
M24,Aegir_M24_B93,BHGFJBKP_44_1,117,2,3469.884685,3.540315042,CDP,Bacteria,Pseudomonadota,Gammaproteobacteria,SZUA-229,SZUA-229,S010-25,
M24,Aegir_M24_B93,BHGFJBKP_59_23,108,1,1879.520871,3.274047153,CLP,Bacteria,Pseudomonadota,Gammaproteobacteria,SZUA-229,SZUA-229,S010-25,
M25,Aegir_M25_B155,FNFNEMEO_143_1,123,1,18036.85615,4.256160842,CLP,Bacteria,WOR-3,Hydrothermia,JBDRYB01,JBDRYB01,,
M25,Aegir_M25_B181,LCHLHEKD_57_7,84,2,52822.22159,4.722816663,CLP,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,DRMV01,JAADEN01,
M25,Aegir_M25_B199,BNINIGFF_138_10,102,2,43500.65308,4.638495777,CDP,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,F082,Sulfidibacterium,
M25,Aegir_M25_B215,DBLJEKIA_374_3,90,5,123251.8504,5.090793448,CLP,Bacteria,Chloroflexota,Anaerolineae,Promineifilales,Promineifilaceae,JAJRTP01,
M25,Aegir_M25_B215,DBLJEKIA_14_6,99,3,67228.28203,4.827552013,CLP,Bacteria,Chloroflexota,Anaerolineae,Promineifilales,Promineifilaceae,JAJRTP01,
M25,Aegir_M25_B215,DBLJEKIA_439_3,99,3,67228.28203,4.827552013,CLP,Bacteria,Chloroflexota,Anaerolineae,Promineifilales,Promineifilaceae,JAJRTP01,
M25,Aegir_M25_B94,ABBBLBMD_104_2,132,2,33614.14101,4.526522018,CLP,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,,
