genome_ID,BGC counts,Domain,Phylum,Class,Order,Family,Genus,Species
Aegir_M24_B1,0,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,JAADGE01,CAMZKQ01,
Aegir_M24_B10,2,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Salibacteraceae,CAJXZP01,
Aegir_M24_B100,2,Bacteria,Pseudomonadota,Gammaproteobacteria,SZUA-229,SZUA-229,GCA-2746365,
Aegir_M24_B101,1,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,UBA4466,
Aegir_M24_B102,3,Bacteria,Pseudomonadota,Gammaproteobacteria,GCA-001735895,GCA-001735895,JACNJF01,
Aegir_M24_B103,8,Bacteria,Planctomycetota,UBA11346,UBA11346,UBA11346,JANQLF01,
Aegir_M24_B104,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Kangiellaceae,GCA-002733465,
Aegir_M24_B105,3,Bacteria,Pseudomonadota,Gammaproteobacteria,AKS1,AKS1,Sulfuriflexus,
Aegir_M24_B106,2,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Marinicellaceae,NORP309,
Aegir_M24_B107,2,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,Sulfurovum sp030949725
Aegir_M24_B108,3,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Kangiellaceae,GCA-002733465,
Aegir_M24_B109,3,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,UBA5972,
Aegir_M24_B11,8,Bacteria,Pseudomonadota,Gammaproteobacteria,CAJXQU01,CAJXQU01,CAJXQU01,CAJXQU01 sp026984275
Aegir_M24_B110,5,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,NORP324,
Aegir_M24_B111,2,Bacteria,Pseudomonadota,Gammaproteobacteria,SZUA-229,SZUA-229,GCA-2746365,
Aegir_M24_B112,5,Bacteria,Planctomycetota,GCA-002687715,GCA-002687715,DRQF01,DRQF01,
Aegir_M24_B113,2,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,S010-17,
Aegir_M24_B114,2,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Devosiaceae,DROE01,
Aegir_M24_B115,2,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Profundibacter,Profundibacter amoris
Aegir_M24_B116,2,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurimonadaceae,Sulfurimonas,
Aegir_M24_B117,1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,JAAEUB01,
Aegir_M24_B118,7,Bacteria,Bacteroidota,Bacteroidia,UBA10329,UBA10329,UBA10329,
Aegir_M24_B119,1,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,UBA1924,UBA1924,
