Sample	MAG	smORF	Length
M24	Aegir_M24_B10	BPIAAOIK_33_20	41
M24	Aegir_M24_B101	OAGAJOKM_21_2	20
M24	Aegir_M24_B102	CLDLOCKN_20_28	17
M24	Aegir_M24_B108	JDJMJEBK_160_1	34
M24	Aegir_M24_B108	JDJMJEBK_91_31	41
M24	Aegir_M24_B108	JDJMJEBK_126_3	31
M24	Aegir_M24_B110	NLMDFIEA_365_8	34
M24	Aegir_M24_B110	NLMDFIEA_264_40	25
M24	Aegir_M24_B111	PIANMFAJ_178_2	22
M24	Aegir_M24_B115	FBCILAEC_311_1	44
M24	Aegir_M24_B116	LFICFLKJ_179_2	45
M24	Aegir_M24_B116	LFICFLKJ_70_19	39
M24	Aegir_M24_B118	FAKNGFII_286_15	36
M24	Aegir_M24_B118	FAKNGFII_173_3	46
M24	Aegir_M24_B119	DEJCOLOP_35_3	34
M24	Aegir_M24_B119	DEJCOLOP_140_2	32
M24	Aegir_M24_B12	AMEDOMHJ_240_4	25
M24	Aegir_M24_B121	JDPIOGND_12_43	55
M24	Aegir_M24_B123	FHGAEOEJ_19_55	24
M24	Aegir_M24_B127	DHLFLHGA_687_6	27
M24	Aegir_M24_B127	DHLFLHGA_40_1	33
M24	Aegir_M24_B127	DHLFLHGA_671_3	36
M24	Aegir_M24_B127	DHLFLHGA_706_1	35
M24	Aegir_M24_B129	NPEJHEFM_40_5	39
M24	Aegir_M24_B129	NPEJHEFM_245_4	43
M24	Aegir_M24_B130	KOFGBFOK_86_5	36
M24	Aegir_M24_B130	KOFGBFOK_149_7	41
M24	Aegir_M24_B14	ANCDLGFE_9_6	34
M24	Aegir_M24_B15	LJPEBJAM_137_1	26
M24	Aegir_M24_B15	LJPEBJAM_187_9	26
M24	Aegir_M24_B17	JECBHHKC_163_2	25
M24	Aegir_M24_B19	FPDLEAHF_15_3	37
M24	Aegir_M24_B21	LHGLAGHD_6_47	42
M24	Aegir_M24_B22	BBBCDLJB_456_9	34
M24	Aegir_M24_B24	FPPHCGEG_33_6	33
M24	Aegir_M24_B25	GCPKHDHJ_83_1	33
M24	Aegir_M24_B26	BLIMOGOC_130_30	28
M24	Aegir_M24_B27	MGMOCMNP_104_4	39
M24	Aegir_M24_B27	MGMOCMNP_352_10	51
M24	Aegir_M24_B29	IMEAMOFF_109_4	31
M24	Aegir_M24_B29	IMEAMOFF_65_38	27
M24	Aegir_M24_B29	IMEAMOFF_65_8	38
M24	Aegir_M24_B3	CKOFCMJB_774_6	35
M24	Aegir_M24_B30	PJACAEJC_217_1	37
M24	Aegir_M24_B31	LKIEJCHL_455_5	28
M24	Aegir_M24_B32	CGGEEMNC_101_11	31
M24	Aegir_M24_B32	CGGEEMNC_506_8	31
M24	Aegir_M24_B32	CGGEEMNC_290_9	31
M24	Aegir_M24_B32	CGGEEMNC_293_3	28
M24	Aegir_M24_B32	CGGEEMNC_525_3	33
M24	Aegir_M24_B34	OINKMAKN_13_57	18
M24	Aegir_M24_B35	OAFPEDIB_12_79	24
M24	Aegir_M24_B36	CFEKOEEO_124_2	43
