Metagenome,MAG,BGC counts,Domain,Phylum,Class,Order,Family,Genus,Species,complete annotation
M24,Aegir_M24_B1,0,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,JAADGE01,CAMZKQ01,0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__JAADGE01;g__CAMZKQ01;s__
M24,Aegir_M24_B10,2,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Salibacteraceae,CAJXZP01,0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Salibacteraceae;g__CAJXZP01;s__
M24,Aegir_M24_B100,2,Bacteria,Pseudomonadota,Gammaproteobacteria,SZUA-229,SZUA-229,GCA-2746365,0,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__SZUA-229;f__SZUA-229;g__GCA-2746365;s__
M24,Aegir_M24_B101,1,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,UBA4466,0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae;g__UBA4466;s__
M24,Aegir_M24_B102,3,Bacteria,Pseudomonadota,Gammaproteobacteria,GCA-001735895,GCA-001735895,JACNJF01,0,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__GCA-001735895;f__GCA-001735895;g__JACNJF01;s__
M24,Aegir_M24_B103,8,Bacteria,Planctomycetota,UBA11346,UBA11346,UBA11346,JANQLF01,0,d__Bacteria;p__Planctomycetota;c__UBA11346;o__UBA11346;f__UBA11346;g__JANQLF01;s__
M24,Aegir_M24_B104,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Kangiellaceae,GCA-002733465,0,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Kangiellaceae;g__GCA-002733465;s__
M24,Aegir_M24_B105,3,Bacteria,Pseudomonadota,Gammaproteobacteria,AKS1,AKS1,Sulfuriflexus,0,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__AKS1;f__AKS1;g__Sulfuriflexus;s__
M24,Aegir_M24_B106,2,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Marinicellaceae,NORP309,0,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Marinicellaceae;g__NORP309;s__
M24,Aegir_M24_B107,2,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,Sulfurovum sp030949725,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurovaceae;g__Sulfurovum;s__Sulfurovum sp030949725
M24,Aegir_M24_B108,3,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Kangiellaceae,GCA-002733465,0,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Kangiellaceae;g__GCA-002733465;s__
M24,Aegir_M24_B109,3,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,UBA5972,0,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__UBA5972;s__
M24,Aegir_M24_B11,8,Bacteria,Pseudomonadota,Gammaproteobacteria,CAJXQU01,CAJXQU01,CAJXQU01,CAJXQU01 sp026984275,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__CAJXQU01;f__CAJXQU01;g__CAJXQU01;s__CAJXQU01 sp026984275
M24,Aegir_M24_B110,5,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,NORP324,0,d__Bacteria;p__Myxococcota;c__Polyangia;o__Haliangiales;f__Haliangiaceae;g__NORP324;s__
M24,Aegir_M24_B111,2,Bacteria,Pseudomonadota,Gammaproteobacteria,SZUA-229,SZUA-229,GCA-2746365,0,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__SZUA-229;f__SZUA-229;g__GCA-2746365;s__
M24,Aegir_M24_B112,5,Bacteria,Planctomycetota,GCA-002687715,GCA-002687715,DRQF01,DRQF01,0,d__Bacteria;p__Planctomycetota;c__GCA-002687715;o__GCA-002687715;f__DRQF01;g__DRQF01;s__
M24,Aegir_M24_B113,2,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,S010-17,0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__S010-17;s__
M24,Aegir_M24_B114,2,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Devosiaceae,DROE01,0,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Devosiaceae;g__DROE01;s__
M24,Aegir_M24_B115,2,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Profundibacter,Profundibacter amoris,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Profundibacter;s__Profundibacter amoris
M24,Aegir_M24_B116,2,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurimonadaceae,Sulfurimonas,0,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurimonadaceae;g__Sulfurimonas;s__
M24,Aegir_M24_B117,1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,JAAEUB01,0,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__JAAEUB01;s__
M24,Aegir_M24_B118,7,Bacteria,Bacteroidota,Bacteroidia,UBA10329,UBA10329,UBA10329,0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__UBA10329;f__UBA10329;g__UBA10329;s__
M24,Aegir_M24_B119,1,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,UBA1924,UBA1924,0,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__UBA1924;g__UBA1924;s__
M24,Aegir_M24_B12,5,Bacteria,Pseudomonadota,Gammaproteobacteria,SZUA-229,SZUA-229,GCA-2746365,0,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__SZUA-229;f__SZUA-229;g__GCA-2746365;s__
M24,Aegir_M24_B120,0,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,JALSTN01,0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__JALSTN01;s__
M24,Aegir_M24_B121,0,Bacteria,Patescibacteriota,Minisyncoccia,UBA9973,UBA918,OLB19,0,d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__UBA9973;f__UBA918;g__OLB19;s__
M24,Aegir_M24_B122,3,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Methyloprofundus,Methyloprofundus sp900128525,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methyloprofundus;s__Methyloprofundus sp900128525
M24,Aegir_M24_B123,3,Bacteria,Pseudomonadota,Gammaproteobacteria,CAMYNG01,CAMYNG01,JALUTW01,JALUTW01 sp027021685,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__CAMYNG01;f__CAMYNG01;g__JALUTW01;s__JALUTW01 sp027021685
M24,Aegir_M24_B124,6,Bacteria,Planctomycetota,UBA1135,UBA1135,GCA-002686595,JBBDIB01,0,d__Bacteria;p__Planctomycetota;c__UBA1135;o__UBA1135;f__GCA-002686595;g__JBBDIB01;s__
M24,Aegir_M24_B125,4,Bacteria,Planctomycetota,GCA-002687715,GCA-002687715,DRQF01,S139-23,0,d__Bacteria;p__Planctomycetota;c__GCA-002687715;o__GCA-002687715;f__DRQF01;g__S139-23;s__
M24,Aegir_M24_B126,4,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,JAJRUE01,0,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__JAJRUE01;s__
M24,Aegir_M24_B127,21,Bacteria,Planctomycetota,GCA-2746535,GCA-2746535,GCA-2746535,GCA-2746535,0,d__Bacteria;p__Planctomycetota;c__GCA-2746535;o__GCA-2746535;f__GCA-2746535;g__GCA-2746535;s__
M24,Aegir_M24_B128,2,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Azotimanducaceae,JAHRVQ01,0,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Azotimanducaceae;g__JAHRVQ01;s__
M24,Aegir_M24_B129,2,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Vicingaceae,GCA-002793235,0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Vicingaceae;g__GCA-002793235;s__
M24,Aegir_M24_B13,3,Bacteria,Pseudomonadota,Gammaproteobacteria,Beggiatoales,Beggiatoaceae,0,0,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Beggiatoales;f__Beggiatoaceae;g__;s__
M24,Aegir_M24_B130,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,JALSJK01,JALSJK01 sp026989395,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__JALSJK01;s__JALSJK01 sp026989395
M24,Aegir_M24_B131,3,Bacteria,Pseudomonadota,Gammaproteobacteria,Nitrosococcales,Methylophagaceae,GCA-002733105,0,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Nitrosococcales;f__Methylophagaceae;g__GCA-002733105;s__
M24,Aegir_M24_B132,2,Bacteria,Planctomycetota,UBA1135,UBA1135,GCA-002686595,JARGPD01,0,d__Bacteria;p__Planctomycetota;c__UBA1135;o__UBA1135;f__GCA-002686595;g__JARGPD01;s__
M24,Aegir_M24_B133,0,Bacteria,Planctomycetota,JADGBV01,JADGBV01,JADGBV01,JADGBV01,0,d__Bacteria;p__Planctomycetota;c__JADGBV01;o__JADGBV01;f__JADGBV01;g__JADGBV01;s__
M24,Aegir_M24_B14,2,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Azotimanducaceae,GCA-002726655,0,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Azotimanducaceae;g__GCA-002726655;s__
M24,Aegir_M24_B15,3,Bacteria,Planctomycetota,UBA1135,UBA1135,GCA-002686595,GCA-2862085,0,d__Bacteria;p__Planctomycetota;c__UBA1135;o__UBA1135;f__GCA-002686595;g__GCA-2862085;s__
M24,Aegir_M24_B16,1,Bacteria,Planctomycetota,Planctomycetia,Planctomycetales,Planctomycetaceae,Rubinisphaera,0,d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__Rubinisphaera;s__
M24,Aegir_M24_B17,1,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,0,0,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__;s__
M24,Aegir_M24_B18,3,Bacteria,Pseudomonadota,Gammaproteobacteria,DSM-19610,DSM-19610,Thiogranum,0,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__DSM-19610;f__DSM-19610;g__Thiogranum;s__
M24,Aegir_M24_B19,4,Bacteria,Bdellovibrionota,Bacteriovoracia,Bacteriovoracales,Bacteriovoracaceae,0,0,d__Bacteria;p__Bdellovibrionota;c__Bacteriovoracia;o__Bacteriovoracales;f__Bacteriovoracaceae;g__;s__
M24,Aegir_M24_B2,9,Bacteria,Myxococcota,Polyangia,Polyangiales,SG8-38,JBCCRV01,0,d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__SG8-38;g__JBCCRV01;s__
M24,Aegir_M24_B20,4,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,UBA4466,0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae;g__UBA4466;s__
M24,Aegir_M24_B21,6,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,SZUA-100,0,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__SZUA-100;s__
M24,Aegir_M24_B22,5,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,NORP324,0,d__Bacteria;p__Myxococcota;c__Polyangia;o__Haliangiales;f__Haliangiaceae;g__NORP324;s__
M24,Aegir_M24_B23,2,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Amylibacter,Amylibacter sp024280735,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Amylibacter;s__Amylibacter sp024280735
M24,Aegir_M24_B24,3,Bacteria,Pseudomonadota,Gammaproteobacteria,SZUA-152,SZUA-152,SZUA-152,0,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__SZUA-152;f__SZUA-152;g__SZUA-152;s__
M24,Aegir_M24_B25,4,Bacteria,Pseudomonadota,Gammaproteobacteria,SZUA-152,SZUA-152,SZUA-152,0,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__SZUA-152;f__SZUA-152;g__SZUA-152;s__
M24,Aegir_M24_B26,2,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,GCA-002733185,0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__GCA-002733185;s__
M24,Aegir_M24_B27,3,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Bernardetiaceae,0,0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Bernardetiaceae;g__;s__
